Date,Price,Index
07/11/2013,190.76,S&P/FMDQ SBI
07/11/2013,"38,125.91",NGX ASI
08/11/2013,190.66,S&P/FMDQ SBI
08/11/2013,"37,870.87",NGX ASI
11/11/2013,190.64,S&P/FMDQ SBI
11/11/2013,"37,898.30",NGX ASI
12/11/2013,190.83,S&P/FMDQ SBI
12/11/2013,"38,293.59",NGX ASI
13/11/2013,190.9,S&P/FMDQ SBI
13/11/2013,"37,949.11",NGX ASI
14/11/2013,190.69,S&P/FMDQ SBI
14/11/2013,"37,772.86",NGX ASI
15/11/2013,190.84,S&P/FMDQ SBI
15/11/2013,"37,883.53",NGX ASI
18/11/2013,190.88,S&P/FMDQ SBI
18/11/2013,"38,053.75",NGX ASI
19/11/2013,191.07,S&P/FMDQ SBI
19/11/2013,"38,255.86",NGX ASI
20/11/2013,191.03,S&P/FMDQ SBI
20/11/2013,"38,815.64",NGX ASI
21/11/2013,191.07,S&P/FMDQ SBI
21/11/2013,"39,119.88",NGX ASI
22/11/2013,191.08,S&P/FMDQ SBI
22/11/2013,"39,246.05",NGX ASI
25/11/2013,190.57,S&P/FMDQ SBI
25/11/2013,"39,222.02",NGX ASI
26/11/2013,190.91,S&P/FMDQ SBI
26/11/2013,"38,975.16",NGX ASI
27/11/2013,190.54,S&P/FMDQ SBI
27/11/2013,"39,011.31",NGX ASI
28/11/2013,190.59,S&P/FMDQ SBI
28/11/2013,"38,928.65",NGX ASI
29/11/2013,190.75,S&P/FMDQ SBI
29/11/2013,"38,920.85",NGX ASI
02/12/2013,190.98,S&P/FMDQ SBI
02/12/2013,"39,045.07",NGX ASI
03/12/2013,191.01,S&P/FMDQ SBI
03/12/2013,"38,955.42",NGX ASI
04/12/2013,191.35,S&P/FMDQ SBI
04/12/2013,"38,990.20",NGX ASI
05/12/2013,191.59,S&P/FMDQ SBI
05/12/2013,"38,864.84",NGX ASI
06/12/2013,191.66,S&P/FMDQ SBI
06/12/2013,"38,738.15",NGX ASI
09/12/2013,191.84,S&P/FMDQ SBI
09/12/2013,"38,747.51",NGX ASI
10/12/2013,192.09,S&P/FMDQ SBI
10/12/2013,"38,961.60",NGX ASI
11/12/2013,192.15,S&P/FMDQ SBI
11/12/2013,"38,844.17",NGX ASI
12/12/2013,192.02,S&P/FMDQ SBI
12/12/2013,"38,841.49",NGX ASI
13/12/2013,191.59,S&P/FMDQ SBI
13/12/2013,"38,831.59",NGX ASI
16/12/2013,191.48,S&P/FMDQ SBI
16/12/2013,"39,695.34",NGX ASI
17/12/2013,190.18,S&P/FMDQ SBI
17/12/2013,"39,130.37",NGX ASI
18/12/2013,190.23,S&P/FMDQ SBI
18/12/2013,"39,383.33",NGX ASI
19/12/2013,189.93,S&P/FMDQ SBI
19/12/2013,"39,760.43",NGX ASI
20/12/2013,189.81,S&P/FMDQ SBI
20/12/2013,"39,562.75",NGX ASI
